date,period,value
2020-04-28,2020-03-31,3500000.0
2020-08-25,2020-06-30,3500000.0
2020-10-29,2020-09-30,3500000.0
2021-04-27,2020-12-31,3500000.0
2021-04-27,2021-03-31,3500000.0
2021-08-26,2021-06-30,3500000.0
2021-10-28,2021-09-30,3500000.0
2022-04-26,2021-12-31,3500000.0
2022-04-26,2022-03-31,3500000.0
2022-08-26,2022-06-30,3500000.0
2022-10-28,2022-09-30,3500000.0
2023-04-26,2022-12-31,3500000.0
2023-04-26,2023-03-31,3500000.0
2023-08-29,2023-06-30,3500000.0
2023-10-28,2023-09-30,3500000.0
2025-04-29,2025-03-31,0.0
