date,period,value
2020-04-29,2020-03-31,1092416260.0
2020-08-18,2020-06-30,960140812.22
2020-10-27,2020-09-30,960140812.22
2021-03-09,2020-12-31,911414046.67
2021-04-20,2021-03-31,-3037348.9
2021-08-18,2021-06-30,-230809188.8
2021-10-26,2021-09-30,185913007.83
2022-04-26,2021-12-31,199266816.65
2022-04-29,2022-03-31,271946.94
2022-08-18,2022-06-30,93748219.03
2022-10-28,2022-09-30,837996483.43
2023-04-28,2022-12-31,1059019680.92
2023-04-28,2023-03-31,-2072783.41
2023-08-26,2023-06-30,-157289258.19
2023-10-21,2023-09-30,-164747333.54
2024-03-30,2023-12-31,-177429035.36
2024-04-26,2024-03-31,43605408.82
2024-08-02,2024-06-30,-135956810.26
2024-10-22,2024-09-30,-324363596.39
2025-03-29,2024-12-31,-328610891.25
2025-04-26,2025-03-31,-3604646.94
2025-08-16,2025-06-30,-332334921.43
2025-10-25,2025-09-30,-729264987.51
2026-03-21,2025-12-31,-670752126.91
