date,period,value
2020-04-28,2020-03-31,1244858380.68
2020-08-28,2020-06-30,1402857265.39
2020-10-30,2020-09-30,1247104249.11
2021-04-29,2020-12-31,1163144328.28
2021-04-29,2021-03-31,851669544.73
2021-08-27,2021-06-30,1011699959.06
2021-10-30,2021-09-30,870303943.01
2022-04-28,2021-12-31,961009948.47
2022-04-28,2022-03-31,1519104017.8
2022-08-30,2022-06-30,1813127019.72
2022-10-27,2022-09-30,2609138754.67
2023-04-18,2022-12-31,2197039640.4
2023-04-28,2023-03-31,2719677993.54
2023-08-30,2023-06-30,2901516359.3
2023-10-31,2023-09-30,3439443568.49
2024-04-30,2023-12-31,3029342311.61
2024-04-30,2024-03-31,3967793441.53
2024-08-27,2024-06-30,3487791285.12
2024-10-31,2024-09-30,3334315266.09
2025-04-29,2024-12-31,2550574546.06
2025-04-29,2025-03-31,2997391469.18
2025-08-26,2025-06-30,2139262041.43
2025-10-28,2025-09-30,2219016711.47
