date,period,value
2020-04-30,2020-03-31,322501950.71
2020-08-28,2020-06-30,322501950.71
2020-10-30,2020-09-30,322501950.71
2021-04-26,2020-12-31,322501950.71
2021-04-29,2021-03-31,1929419702.51
2021-08-30,2021-06-30,1929419702.51
2021-10-26,2021-09-30,1929419702.51
2022-04-23,2021-12-31,1929419702.51
2022-04-23,2022-03-31,788221156.51
2022-08-30,2022-06-30,788221156.51
2022-10-27,2022-09-30,788221156.51
2023-04-28,2022-12-31,788221156.51
2023-04-28,2023-03-31,2783733126.09
2023-08-25,2023-06-30,2783733126.09
2023-10-27,2023-09-30,2783733126.09
2024-04-26,2023-12-31,2783733126.09
2024-04-30,2024-03-31,3353852997.45
2024-08-30,2024-06-30,3353852997.45
2024-10-31,2024-09-30,3353852997.45
2025-04-29,2024-12-31,3353852997.45
2025-04-29,2025-03-31,1811156515.14
2025-08-20,2025-06-30,1811156515.14
2025-10-30,2025-09-30,1811156515.14
