date,period,value
2020-04-30,2020-03-31,788846043.35
2020-08-26,2020-06-30,788071171.35
2020-10-29,2020-09-30,788071171.35
2021-03-15,2020-12-31,788071171.35
2021-04-29,2021-03-31,720703931.47
2021-08-23,2021-06-30,720703931.47
2021-10-28,2021-09-30,720703931.47
2022-03-14,2021-12-31,720703931.47
2022-04-27,2022-03-31,684507226.0
2022-08-25,2022-06-30,684507226.0
2022-10-26,2022-09-30,684507226.0
2023-03-17,2022-12-31,684507226.0
2023-04-27,2023-03-31,619989802.4
2023-08-28,2023-06-30,619989802.4
2023-10-30,2023-09-30,619989802.4
2024-04-03,2023-12-31,619989802.4
2024-04-25,2024-03-31,664523644.29
2024-08-28,2024-06-30,664523644.29
2024-10-28,2024-09-30,664523644.29
2025-03-24,2024-12-31,664523644.29
2025-04-29,2025-03-31,630833576.0
2025-08-25,2025-06-30,630833576.0
2025-10-27,2025-09-30,630833576.0
2026-03-27,2025-12-31,630833576.0
