date,period,value
2020-04-29,2020-03-31,2224688366.68
2020-08-20,2020-06-30,2224688366.68
2020-10-31,2020-09-30,2224688366.68
2021-04-28,2020-12-31,2224688366.68
2021-04-28,2021-03-31,2461121368.32
2021-08-27,2021-06-30,2461121368.32
2021-10-29,2021-09-30,2461121368.32
2022-04-30,2021-12-31,2461121368.32
2022-04-30,2022-03-31,1870946398.01
2022-08-05,2022-06-30,1870946398.01
2022-10-18,2022-09-30,1870946398.01
2023-03-18,2022-12-31,1870946398.01
2023-04-21,2023-03-31,1646194634.73
2023-08-18,2023-06-30,1646194634.73
2023-10-28,2023-09-30,1646194634.73
2024-03-23,2023-12-31,1646194634.73
2024-04-20,2024-03-31,2432035791.55
2024-08-24,2024-06-30,2432035791.55
2024-10-19,2024-09-30,2432035791.55
2025-03-22,2024-12-31,2432035791.55
2025-04-12,2025-03-31,2313372053.97
2025-08-27,2025-06-30,2313372053.97
2025-10-18,2025-09-30,2313372053.97
2026-03-21,2025-12-31,2313372053.97
