date,period,value
2020-04-29,2020-03-31,698500000.0
2020-08-21,2020-06-30,1799320000.0
2020-10-28,2020-09-30,3400020000.0
2021-03-26,2020-12-31,6180420000.0
2021-04-28,2021-03-31,840380741.51
2021-08-25,2021-06-30,2125720000.0
2021-10-27,2021-09-30,4508442851.66
2022-03-25,2021-12-31,5853430000.0
2022-04-29,2022-03-31,2945434867.75
2022-08-26,2022-06-30,6643380000.0
2022-10-24,2022-09-30,9678151911.97
2023-03-29,2022-12-31,11844172000.0
2023-04-26,2023-03-31,1780688946.27
2023-08-30,2023-06-30,3167844260.36
2023-10-27,2023-09-30,4649610543.12
2024-03-28,2023-12-31,5508118561.78
2024-04-26,2024-03-31,381400000.0
2024-08-23,2024-06-30,1287600000.0
2024-10-30,2024-09-30,2032950672.0
2025-03-29,2024-12-31,2964720441.37
2025-04-30,2025-03-31,1102900000.0
2025-08-27,2025-06-30,2279900000.0
2025-10-31,2025-09-30,3139860000.0
2026-03-28,2025-12-31,3955764141.17
