date,period,value
2020-04-28,2020-03-31,5192302.1
2020-07-28,2020-06-30,28711659.31
2020-10-28,2020-09-30,38426782.57
2021-03-31,2020-12-31,31045971.89
2021-04-30,2021-03-31,-7343828.23
2021-08-30,2021-06-30,-7152330.88
2021-10-30,2021-09-30,-24254905.09
2022-03-30,2021-12-31,21958284.55
2022-04-30,2022-03-31,-3731829.11
2022-08-23,2022-06-30,-19288325.58
2022-10-29,2022-09-30,-42211182.77
2023-04-22,2022-12-31,17484806.82
2023-04-28,2023-03-31,-32476835.4
2023-08-12,2023-06-30,155689740.46
2023-10-31,2023-09-30,108083351.59
2024-03-30,2023-12-31,88838537.36
2024-04-29,2024-03-31,-18304645.53
2024-08-16,2024-06-30,-41006398.91
2024-10-31,2024-09-30,-51084939.83
2025-04-26,2024-12-31,-114570600.33
2025-04-26,2025-03-31,-19154672.71
2025-08-26,2025-06-30,29592228.83
2025-10-31,2025-09-30,70767514.85
2026-03-31,2025-12-31,50959162.56
