date,period,value
2020-04-25,2020-03-31,-0.19
2020-08-28,2020-06-30,-0.64
2020-10-31,2020-09-30,-0.59
2021-04-24,2020-12-31,-0.96
2021-04-24,2021-03-31,0.05
2021-08-28,2021-06-30,0.07
2021-10-30,2021-09-30,0.03
2022-04-27,2021-12-31,0.05
2022-04-27,2022-03-31,-0.003
2022-08-31,2022-06-30,-0.38
2022-10-29,2022-09-30,-0.36
2023-04-27,2022-12-31,-0.75
2023-04-27,2023-03-31,0.08
2023-08-30,2023-06-30,0.15
2023-10-31,2023-09-30,0.28
2024-04-27,2023-12-31,0.28
2024-04-27,2024-03-31,0.1
2024-08-31,2024-06-30,0.15
2024-10-30,2024-09-30,0.24
2025-04-22,2024-12-31,0.2
2025-04-22,2025-03-31,0.15
2025-08-27,2025-06-30,0.12
2025-10-31,2025-09-30,0.31
