date,period,value
2020-04-17,2020-03-31,195126001.61
2020-08-06,2020-06-30,195126001.61
2020-10-28,2020-09-30,195126001.61
2021-04-08,2020-12-31,291111415.35
2021-04-22,2021-03-31,291111415.35
2021-08-05,2021-06-30,291111415.35
2021-10-27,2021-09-30,291111415.35
2022-04-19,2021-12-31,473946056.77
2022-04-28,2022-03-31,473946056.77
2022-08-18,2022-06-30,473946056.77
2022-10-27,2022-09-30,473946056.77
2023-04-29,2022-12-31,690741981.76
2023-04-29,2023-03-31,690741981.76
2023-08-30,2023-06-30,690741981.76
2023-10-31,2023-09-30,690741981.76
2024-04-24,2023-12-31,809665467.34
2024-04-30,2024-03-31,809665467.34
2024-08-30,2024-06-30,809665467.34
2024-10-31,2024-09-30,809665467.34
2025-04-22,2024-12-31,897461023.93
2025-04-29,2025-03-31,897461023.93
2025-08-27,2025-06-30,897461023.93
2025-10-30,2025-09-30,897461023.93
