date,period,value
2020-04-29,2020-03-31,6864194016.74
2020-08-28,2020-06-30,6864194016.74
2020-10-29,2020-09-30,6864194016.74
2021-03-24,2020-12-31,6864194016.74
2021-04-29,2021-03-31,9613737050.05
2021-08-27,2021-06-30,9613737050.05
2021-10-28,2021-09-30,9613737050.05
2022-03-31,2021-12-31,9613737050.05
2022-04-29,2022-03-31,9969032899.2
2022-08-26,2022-06-30,9969032899.2
2022-10-26,2022-09-30,9969032899.2
2023-03-30,2022-12-31,9969032899.2
2023-04-28,2023-03-31,12730673639.64
2023-08-31,2023-06-30,12730673639.64
2023-10-25,2023-09-30,12730673639.64
2024-03-27,2023-12-31,12730673639.64
2024-04-26,2024-03-31,13902060196.12
2024-08-30,2024-06-30,13902060196.12
2024-10-26,2024-09-30,13902060196.12
2025-03-29,2024-12-31,13902060196.12
2025-04-26,2025-03-31,16251331770.65
2025-08-30,2025-06-30,16251331770.65
2025-10-31,2025-09-30,16251331770.65
2026-03-28,2025-12-31,16251331770.65
