date,period,value
2020-09-15,2020-06-30,124060075.92
2020-12-10,2020-09-30,196713958.54
2021-04-28,2020-03-31,41432424.97
2021-04-28,2020-12-31,274485010.11
2021-04-28,2021-03-31,59444815.51
2021-08-20,2021-06-30,155063165.46
2021-10-22,2021-09-30,251412440.78
2022-04-08,2021-12-31,316180053.78
2022-04-26,2022-03-31,101325372.04
2022-08-26,2022-06-30,263645028.59
2022-10-20,2022-09-30,644918289.11
2023-04-12,2022-12-31,1272728971.02
2023-04-26,2023-03-31,461900491.35
2023-08-26,2023-06-30,693139939.57
2023-10-28,2023-09-30,654607723.33
2024-04-12,2023-12-31,518487253.57
2024-04-27,2024-03-31,3254154.48
2024-08-24,2024-06-30,19084679.05
2024-10-26,2024-09-30,36699677.7
2025-04-12,2024-12-31,35028209.46
2025-04-22,2025-03-31,-36535678.95
2025-08-22,2025-06-30,20317520.31
2025-10-24,2025-09-30,51099596.35
2026-04-01,2025-12-31,97457576.8
