date,period,value
2020-04-30,2020-03-31,776250350.0
2020-08-29,2020-06-30,776250350.0
2020-10-31,2020-09-30,776250350.0
2021-04-24,2020-12-31,776250350.0
2021-04-30,2021-03-31,776250350.0
2021-08-28,2021-06-30,776250350.0
2021-10-30,2021-09-30,776250350.0
2022-04-23,2021-12-31,1132841451.0
2022-04-30,2022-03-31,1132841451.0
2022-08-27,2022-06-30,1135049451.0
2022-10-29,2022-09-30,1135049451.0
2023-04-15,2022-12-31,1135049451.0
2023-04-29,2023-03-31,1135049451.0
2023-08-26,2023-06-30,1135049451.0
2023-10-28,2023-09-30,1135049451.0
2024-04-20,2023-12-31,1135049451.0
2024-04-27,2024-03-31,1135049451.0
2024-08-30,2024-06-30,1135049451.0
2024-10-31,2024-09-30,1135049451.0
2025-04-26,2024-12-31,1135049451.0
2025-04-30,2025-03-31,1135049451.0
2025-08-30,2025-06-30,1123931424.0
2025-10-31,2025-09-30,1123931424.0
