date,period,value
2020-04-28,2020-03-31,81280003.14
2020-08-26,2020-06-30,130022997.05
2020-10-30,2020-09-30,200022997.05
2021-04-29,2020-12-31,318743542.98
2021-04-29,2021-03-31,195535526.74
2021-08-10,2021-06-30,214722940.31
2021-10-28,2021-09-30,209692691.28
2022-04-27,2021-12-31,276680410.0
2022-04-27,2022-03-31,8453870.22
2022-08-19,2022-06-30,30237681.92
2023-04-28,2022-12-31,159700000.0
2023-04-28,2023-03-31,143890539.31
2023-08-25,2023-06-30,74168138.2
2023-10-30,2023-09-30,104209804.87
2024-04-26,2023-12-31,410700000.0
2024-04-26,2024-03-31,57200000.0
2024-08-29,2024-06-30,107200000.0
2024-10-30,2024-09-30,200000000.0
2025-04-26,2024-12-31,476700000.0
2025-04-26,2025-03-31,167940584.24
2025-08-29,2025-06-30,212789584.24
2025-10-30,2025-09-30,271877820.34
