date,period,value
2020-04-23,2020-03-31,115819453.9
2020-08-13,2020-06-30,115819453.9
2020-10-30,2020-09-30,115819453.9
2021-03-31,2020-12-31,162859516.24
2021-04-23,2021-03-31,162859516.24
2021-08-06,2021-06-30,162859516.24
2021-10-26,2021-09-30,162859516.24
2022-04-28,2021-12-31,229713989.57
2022-04-28,2022-03-31,229713989.57
2022-08-19,2022-06-30,229713989.57
2022-10-29,2022-09-30,229713989.57
2023-03-30,2022-12-31,264154209.93
2023-04-29,2023-03-31,264154209.93
2023-08-30,2023-06-30,264154209.93
2023-10-31,2023-09-30,264154209.93
2024-04-27,2023-12-31,299835911.43
2024-04-30,2024-03-31,299835911.43
2024-08-15,2024-06-30,299835911.43
2024-10-30,2024-09-30,299835911.43
2025-04-29,2024-12-31,347644987.25
2025-04-29,2025-03-31,347644987.25
2025-08-23,2025-06-30,347644987.25
2025-10-31,2025-09-30,347644987.25
