date,period,value
2020-12-01,2020-06-30,387955132.54
2021-03-31,2020-12-31,144853058.59
2021-11-07,2021-06-30,96076387.44
2022-01-10,2021-09-30,102683838.64
2022-04-20,2021-12-31,114805067.5
2022-04-27,2022-03-31,106735145.8
2022-08-26,2022-06-30,139185775.19
2022-10-27,2022-09-30,187883395.57
2023-04-14,2022-12-31,176175306.79
2023-04-27,2023-03-31,159979984.81
2023-08-31,2023-06-30,163905828.84
2023-10-25,2023-09-30,329961388.53
2024-04-26,2023-12-31,539018797.93
2024-04-26,2024-03-31,570778590.26
2024-08-27,2024-06-30,630284662.2
2024-10-28,2024-09-30,617289436.65
2025-04-22,2024-12-31,623517494.82
2025-04-22,2025-03-31,557270216.06
2025-08-16,2025-06-30,546343189.32
2025-10-27,2025-09-30,561146407.15
