date,period,value
2020-04-25,2020-03-31,-465669.83
2020-08-12,2020-06-30,2089823.15
2020-10-29,2020-09-30,8613506.18
2021-03-30,2020-12-31,10557922.75
2021-04-28,2021-03-31,1561350.92
2021-08-25,2021-06-30,6196858.22
2021-10-28,2021-09-30,7401823.78
2022-03-31,2021-12-31,8841006.28
2022-04-28,2022-03-31,1942283.6
2022-08-25,2022-06-30,3533872.88
2022-10-28,2022-09-30,7012298.36
2023-03-31,2022-12-31,8509951.14
2023-04-27,2023-03-31,1685165.75
2023-08-29,2023-06-30,3726512.34
2023-10-27,2023-09-30,7918399.82
2024-03-30,2023-12-31,7350346.0
2024-04-25,2024-03-31,427380.12
2024-08-28,2024-06-30,2414280.02
2024-10-24,2024-09-30,5570637.51
2025-03-28,2024-12-31,12024771.84
2025-04-25,2025-03-31,4618498.88
2025-08-26,2025-06-30,4566153.54
2025-10-30,2025-09-30,10995288.94
2026-03-31,2025-12-31,9666462.13
