date,period,value
2020-04-29,2020-03-31,1818799759.27
2020-08-18,2020-06-30,2577770531.94
2020-10-28,2020-09-30,2767770531.94
2021-03-26,2020-12-31,3530910531.94
2021-04-21,2021-03-31,1282239512.06
2021-08-12,2021-06-30,1832239512.06
2021-10-26,2021-09-30,2082239512.06
2022-03-10,2021-12-31,2214625177.0
2022-04-20,2022-03-31,1183467636.98
2022-08-19,2022-06-30,1540320458.07
2022-10-21,2022-09-30,2387563674.51
2023-03-11,2022-12-31,2755218565.45
2023-04-21,2023-03-31,1354137269.05
2023-08-12,2023-06-30,3684137269.05
2023-10-19,2023-09-30,4459137269.05
2024-04-16,2023-12-31,4544097549.36
2024-04-27,2024-03-31,2019764324.95
2024-08-16,2024-06-30,3609764324.95
2024-10-26,2024-09-30,4202340574.84
2025-03-20,2024-12-31,6669719413.17
2025-04-25,2025-03-31,2812483596.96
2025-08-16,2025-06-30,4272483596.96
2025-10-25,2025-09-30,5842483596.96
2026-03-20,2025-12-31,9511483596.96
