date,period,value
2020-04-21,2020-03-31,40669832.74
2020-08-20,2020-06-30,212988.46
2020-10-30,2020-09-30,291904477.71
2021-03-05,2020-12-31,291561477.71
2021-04-20,2021-03-31,-514500.0
2021-08-11,2021-06-30,-54364635.6
2021-10-26,2021-09-30,-55974401.11
2022-04-20,2021-12-31,-56241041.39
2022-04-20,2022-03-31,-2775338.95
2022-07-28,2022-06-30,-62326754.18
2022-10-27,2022-09-30,-77558563.97
2023-03-22,2022-12-31,-93739950.72
2023-04-18,2023-03-31,-1722779.82
2023-08-02,2023-06-30,49332840.71
2023-10-28,2023-09-30,45876034.81
2024-04-18,2023-12-31,45746527.59
2024-04-25,2024-03-31,-10643130.04
2024-08-09,2024-06-30,-74791240.57
2024-10-26,2024-09-30,-75115456.78
2025-04-23,2024-12-31,-28716887.66
2025-04-24,2025-03-31,-840007.43
2025-08-23,2025-06-30,-26380959.07
2025-10-30,2025-09-30,-1397537.31
