date,period,value
2020-04-28,2020-03-31,235360335.89
2020-08-28,2020-06-30,180530772.63
2020-10-27,2020-09-30,202905371.97
2021-04-27,2020-12-31,168214596.32
2021-04-27,2021-03-31,162262848.35
2021-08-24,2021-06-30,131249954.02
2021-10-28,2021-09-30,96915008.8
2022-04-26,2021-12-31,156831363.94
2022-04-26,2022-03-31,203036417.95
2022-08-30,2022-06-30,107311878.52
2022-10-26,2022-09-30,122539675.9
2023-04-27,2022-12-31,181884444.93
2023-04-27,2023-03-31,182843946.46
2023-08-29,2023-06-30,143581385.0
2023-10-27,2023-09-30,217586542.11
2024-04-26,2023-12-31,152546047.83
2024-04-26,2024-03-31,232810039.43
2024-08-27,2024-06-30,176502589.45
2024-10-25,2024-09-30,255576619.76
2025-04-29,2024-12-31,246362779.02
2025-04-29,2025-03-31,252279604.7
2025-08-26,2025-06-30,283415940.71
2025-10-25,2025-09-30,293805509.73
