date,period,value
2020-04-30,2020-03-31,292509867.45
2020-08-28,2020-06-30,1430038282.17
2020-10-30,2020-09-30,1761275080.51
2021-04-30,2020-12-31,2402117048.29
2021-04-30,2021-03-31,114290884.77
2021-08-28,2021-06-30,1048040884.77
2021-10-30,2021-09-30,1154200884.77
2022-04-29,2021-12-31,1734200884.77
2022-04-29,2022-03-31,2156988528.3
2022-08-31,2022-06-30,2837978528.3
2022-10-29,2022-09-30,3077988528.3
2023-04-29,2022-12-31,4316808528.3
2023-04-29,2023-03-31,375790000.0
2023-08-31,2023-06-30,715000000.0
2023-10-31,2023-09-30,1422900000.0
2024-04-30,2023-12-31,2080885000.0
2024-04-30,2024-03-31,736853860.0
2024-08-31,2024-06-30,736853860.0
2024-10-31,2024-09-30,1780537926.0
2025-04-30,2024-12-31,1810537926.0
2025-04-30,2025-03-31,916250000.0
2025-08-30,2025-06-30,1410520000.0
2025-10-31,2025-09-30,1571909800.0
