date,period,value
2020-04-30,2020-03-31,19130750.37
2020-08-20,2020-06-30,39359408.24
2020-10-31,2020-09-30,59652566.11
2021-03-31,2020-12-31,89482070.17
2021-04-30,2021-03-31,18926842.89
2021-08-20,2021-06-30,39155500.76
2021-10-30,2021-09-30,59300116.44
2022-03-31,2021-12-31,140498409.9
2022-04-30,2022-03-31,68767397.32
2022-08-20,2022-06-30,138708618.82
2022-10-29,2022-09-30,157794680.59
2023-04-20,2022-12-31,176673285.14
2023-04-20,2023-03-31,18820869.54
2023-08-19,2023-06-30,39466757.7
2023-10-31,2023-09-30,79338200.02
2024-03-30,2023-12-31,138603510.48
2024-04-30,2024-03-31,46996522.65
2024-08-31,2024-06-30,341134192.23
2024-10-31,2024-09-30,592354032.17
2025-04-12,2024-12-31,1554686042.18
2025-04-30,2025-03-31,64950027.34
2025-08-26,2025-06-30,626390806.55
2025-10-31,2025-09-30,1047905412.07
2026-03-31,2025-12-31,1222956359.01
