date,period,value
2020-04-30,2020-03-31,2769925.78
2020-08-20,2020-06-30,12446729.69
2020-10-31,2020-09-30,53322511.72
2021-03-31,2020-12-31,85284531.15
2021-04-30,2021-03-31,38071087.04
2021-08-20,2021-06-30,99585971.39
2021-10-30,2021-09-30,160914526.02
2022-03-31,2021-12-31,256932352.14
2022-04-30,2022-03-31,106953678.93
2022-08-20,2022-06-30,208100109.53
2022-10-29,2022-09-30,278542588.9
2023-04-20,2022-12-31,339141500.21
2023-04-20,2023-03-31,110623166.03
2023-08-19,2023-06-30,267278076.23
2023-10-31,2023-09-30,506861407.95
2024-03-30,2023-12-31,694799634.3
2024-04-30,2024-03-31,84158087.39
2024-08-31,2024-06-30,187095834.53
2024-10-31,2024-09-30,278635377.54
2025-04-12,2024-12-31,446494274.95
2025-04-30,2025-03-31,116672833.72
2025-08-26,2025-06-30,207996821.56
2025-10-31,2025-09-30,278664162.13
2026-03-31,2025-12-31,338185302.4
