date,period,value
2020-04-25,2020-03-31,27592289.9
2020-08-21,2020-06-30,27592289.9
2020-10-29,2020-09-30,27592289.9
2021-04-23,2020-12-31,27592289.9
2021-04-24,2021-03-31,27592289.9
2021-08-20,2021-06-30,27592289.9
2021-10-30,2021-09-30,27592289.9
2022-04-23,2021-12-31,27592289.9
2022-04-26,2022-03-31,27592289.9
2022-08-20,2022-06-30,27592289.9
2022-10-29,2022-09-30,27592289.9
2023-04-22,2022-12-31,27592289.9
2023-04-25,2023-03-31,27592289.9
2023-08-19,2023-06-30,27592289.9
2023-10-18,2023-09-30,27592289.9
2024-04-20,2023-12-31,27592289.9
2024-04-24,2024-03-31,27592289.9
2024-08-20,2024-06-30,27592289.9
2024-10-26,2024-09-30,27592289.9
