date,period,value
2020-04-30,2020-03-31,284552190.68
2020-08-29,2020-06-30,2623405900.0
2020-10-31,2020-09-30,3758665088.31
2021-04-30,2020-12-31,3931833115.87
2021-04-30,2021-03-31,1704247743.19
2021-08-31,2021-06-30,2820426069.94
2021-10-30,2021-09-30,5296617069.94
2022-04-30,2021-12-31,5716288501.59
2022-04-30,2022-03-31,1685470653.17
2022-08-31,2022-06-30,2951300878.84
2022-10-29,2022-09-30,7295344770.82
2023-04-19,2022-12-31,8101988784.91
2023-04-29,2023-03-31,342014464.41
2023-08-31,2023-06-30,4153946645.74
2023-10-31,2023-09-30,4790751262.57
2024-04-13,2023-12-31,6219385627.51
2024-04-30,2024-03-31,3075181135.3
2024-08-31,2024-06-30,5489736406.49
2024-10-31,2024-09-30,8661125984.24
2025-04-15,2024-12-31,9398010873.09
2025-04-30,2025-03-31,3023350000.0
2025-08-30,2025-06-30,5100018938.81
2025-10-31,2025-09-30,8578710097.41
