date,period,value
2020-04-24,2020-03-31,64648238.06
2020-08-26,2020-06-30,64648238.06
2020-10-26,2020-09-30,64648238.06
2021-04-26,2020-12-31,65962882.67
2021-04-26,2021-03-31,65962882.67
2021-08-18,2021-06-30,65962882.67
2021-10-26,2021-09-30,66083882.67
2022-04-15,2021-12-31,68887203.04
2022-04-27,2022-03-31,68887203.04
2022-08-10,2022-06-30,68887203.04
2022-10-26,2022-09-30,68887203.04
2023-04-22,2022-12-31,70885074.2
2023-04-22,2023-03-31,70885074.2
2023-07-28,2023-06-30,70885074.2
2023-10-28,2023-09-30,70885074.2
2024-04-20,2023-12-31,73728268.6
2024-04-25,2024-03-31,73728268.6
2024-08-28,2024-06-30,73728268.6
2024-10-26,2024-09-30,73728268.6
2025-04-18,2024-12-31,144702573.38
2025-04-24,2025-03-31,144702573.38
2025-08-27,2025-06-30,144702573.38
2025-10-23,2025-09-30,144702573.38
